date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:58	2215/2215	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/weekend-wrap-up-12/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/weekend-wrap-up-12/feed/index.html	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-12/)
16:07:58	2286/2286	---M-Z	200	added ('OK')	text/xml	date:Fri,%2006%20Jan%202017%2000:08:04%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fweekend-wrap-up-12%2F&format=xml	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed4cd0	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-12/)
16:07:58	34083/34083	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:04%20GMT	http://heyjackass.com/enlightening-commentary/weekend-wrap-up-12/?replytocom=2893	E:/HeyJackass/heyjackass.com/enlightening-commentary/weekend-wrap-up-12/indexab39.html	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-12/)
16:07:58	34083/34083	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:04%20GMT	http://heyjackass.com/enlightening-commentary/weekend-wrap-up-12/?replytocom=2890	E:/HeyJackass/heyjackass.com/enlightening-commentary/weekend-wrap-up-12/index8c6b.html	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-12/)
16:08:00	2234/2234	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Jan%202017%2000:08:05%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fdumb-tweet-of-the-week%2F	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed4c0b.json	(from http://heyjackass.com/enlightening-commentary/dumb-tweet-of-the-week/)
16:08:01	772/772	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/dumb-tweet-of-the-week/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/dumb-tweet-of-the-week/feed/index.html	(from http://heyjackass.com/enlightening-commentary/dumb-tweet-of-the-week/)
16:08:02	2315/2315	---M-Z	200	added ('OK')	text/xml	date:Fri,%2006%20Jan%202017%2000:08:08%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fdumb-tweet-of-the-week%2F&format=xml	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed270a	(from http://heyjackass.com/enlightening-commentary/dumb-tweet-of-the-week/)
16:08:04	2159/2159	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Jan%202017%2000:08:09%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Ff-em%2F	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed0d79.json	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:05	6350/6350	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/f-em/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/f-em/feed/index.html	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:06	2242/2242	---M-Z	200	added ('OK')	text/xml	date:Fri,%2006%20Jan%202017%2000:08:12%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Ff-em%2F&format=xml	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embedddac	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:06	40950/40950	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:12%20GMT	http://heyjackass.com/enlightening-commentary/f-em/?replytocom=2760	E:/HeyJackass/heyjackass.com/enlightening-commentary/f-em/index0d6b.html	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:06	40950/40950	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:12%20GMT	http://heyjackass.com/enlightening-commentary/f-em/?replytocom=2739	E:/HeyJackass/heyjackass.com/enlightening-commentary/f-em/index5161.html	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:06	40950/40950	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:12%20GMT	http://heyjackass.com/enlightening-commentary/f-em/?replytocom=2785	E:/HeyJackass/heyjackass.com/enlightening-commentary/f-em/indexa20c.html	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:06	40950/40950	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:12%20GMT	http://heyjackass.com/enlightening-commentary/f-em/?replytocom=2836	E:/HeyJackass/heyjackass.com/enlightening-commentary/f-em/index1838.html	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:08	40950/40950	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:13%20GMT	http://heyjackass.com/enlightening-commentary/f-em/?replytocom=2841	E:/HeyJackass/heyjackass.com/enlightening-commentary/f-em/index7b6f.html	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:08	40950/40950	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:12%20GMT	http://heyjackass.com/enlightening-commentary/f-em/?replytocom=2838	E:/HeyJackass/heyjackass.com/enlightening-commentary/f-em/index6f79.html	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:08	40950/40950	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:13%20GMT	http://heyjackass.com/enlightening-commentary/f-em/?replytocom=2957	E:/HeyJackass/heyjackass.com/enlightening-commentary/f-em/index6dc3.html	(from http://heyjackass.com/enlightening-commentary/f-em/)
16:08:08	2197/2197	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Jan%202017%2000:08:14%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fforty%2F	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed94b9.json	(from http://heyjackass.com/enlightening-commentary/forty/)
16:08:09	8159/8159	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/forty/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/forty/feed/index.html	(from http://heyjackass.com/enlightening-commentary/forty/)
16:08:10	2280/2280	---M-Z	200	added ('OK')	text/xml	date:Fri,%2006%20Jan%202017%2000:08:15%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fforty%2F&format=xml	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed733e	(from http://heyjackass.com/enlightening-commentary/forty/)
16:08:10	43137/43137	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:16%20GMT	http://heyjackass.com/enlightening-commentary/forty/?replytocom=2660	E:/HeyJackass/heyjackass.com/enlightening-commentary/forty/index20be.html	(from http://heyjackass.com/enlightening-commentary/forty/)
16:08:10	43137/43137	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:16%20GMT	http://heyjackass.com/enlightening-commentary/forty/?replytocom=2661	E:/HeyJackass/heyjackass.com/enlightening-commentary/forty/indexf109.html	(from http://heyjackass.com/enlightening-commentary/forty/)
16:08:10	43137/43137	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:16%20GMT	http://heyjackass.com/enlightening-commentary/forty/?replytocom=2664	E:/HeyJackass/heyjackass.com/enlightening-commentary/forty/index7d1f.html	(from http://heyjackass.com/enlightening-commentary/forty/)
16:08:10	43137/43137	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:16%20GMT	http://heyjackass.com/enlightening-commentary/forty/?replytocom=2665	E:/HeyJackass/heyjackass.com/enlightening-commentary/forty/indexb47b.html	(from http://heyjackass.com/enlightening-commentary/forty/)
